"","X","Y","answer","rate"
"81","10","12","heed",3.91666666666667
"82","10","19","heed",3.95833333333333
"83","10","15","heed",4.25
"84","10","9","hid",3.375
"85","10","8","heed",4
"86","10","7","hid",3.25
"87","10","11","hid",3.16666666666667
"88","10","5","hid",2.5
"89","10","10","heed",4.5
"90","16","18","hid",2.75
"91","16","14","hid",2.66666666666667
"92","16","17","heed",4
"93","16","16","heed",4.33333333333333
"94","16","13","heed",4
"95","16","12","hid",2.75
"96","16","19","hid",4
"97","16","15","hid",3
"98","16","9","hid",3
"99","16","7","heed",3
"100","16","4","hid",4
"101","16","5","heed",4
"102","16","10","heed",4.33333333333333
"103","16","3","hid",2
"104","2","18","hid",4.16666666666667
"105","2","14","heed",3.66666666666667
"106","2","17","hid",3.69444444444444
"107","2","16","hid",4.1
"108","2","13","hid",3.44444444444445
"109","2","12","hid",2.77777777777778
"110","2","19","heed",4.3
"111","2","15","heed",4
"112","2","8","heed",3
"113","2","11","hid",2.95
"114","2","4","heed",3.5
"115","2","5","heed",3.5
"116","2","10","heed",4
"117","2","2","hid",3
"118","4","18","hid",3.57142857142857
"119","4","14","hid",3.04166666666667
"120","4","17","heed",3.8
"121","4","16","heed",3.875
"122","4","13","heed",3
"123","4","12","heed",3.83333333333333
"124","4","19","hid",3.7
"125","4","15","hid",3.5625
"126","4","9","hid",3.6
"127","4","11","hid",3.5
"128","4","10","heed",3.5
"129","4","6","hid",2.5
"130","15","18","heed",3.5
"131","15","14","heed",3.5
"132","15","17","heed",3.5
"133","15","16","heed",3
"134","15","13","heed",3.5
"135","15","12","hid",3
"136","15","19","hid",3.3
"137","15","15","heed",4.5
"138","15","9","hid",3.5
"139","15","8","heed",3
"140","15","11","hid",3.375
"141","15","5","heed",4
"142","15","10","heed",2.5
"143","12","18","hid",4.16666666666667
"144","12","14","hid",3.5625
"145","12","17","hid",4.14285714285715
"146","12","16","hid",3.76666666666667
"147","12","13","heed",3.83333333333333
"148","12","12","heed",3.5
"149","12","19","heed",4
"150","12","15","heed",4.125
"151","12","9","hid",2.44444444444444
"152","12","8","hid",3.16666666666667
"153","12","7","hid",3.5
"154","12","11","heed",4
"155","12","4","heed",3
"156","12","5","heed",3
"157","12","10","hid",3.58333333333333
"158","3","18","heed",4.19444444444444
"159","3","14","heed",2.5
"160","3","17","heed",4.21428571428572
"161","3","16","heed",3.58333333333333
"162","3","13","hid",3.26388888888889
"163","3","12","heed",3.5
"164","3","19","heed",4.3
"165","3","15","heed",3.45
"166","3","9","heed",4
"167","3","8","heed",2.5
"168","3","11","heed",4.5
"169","3","4","heed",3
"170","3","5","hid",4
"171","3","10","heed",3.66666666666667
"172","3","2","hid",1
"173","14","18","hid",4.25
"174","14","14","heed",4
"175","14","17","hid",3.25
"176","14","16","hid",3.25
"177","14","13","heed",4
"178","14","12","hid",2.83333333333333
"179","14","19","heed",5
"180","14","15","heed",3.66666666666667
"181","14","9","heed",4
"182","14","8","heed",5
"183","14","7","hid",2.5
"184","14","11","heed",3.5
"185","14","4","hid",3
"186","14","5","hid",3
"187","14","10","hid",3.5
"188","14","1","heed",2
"189","5","18","heed",4.375
"190","5","14","heed",3.55
"191","5","17","heed",3.57142857142857
"192","5","16","hid",4.07142857142857
"193","5","13","heed",3.5
"194","5","12","heed",3.75
"195","5","19","heed",4.5
"196","5","15","heed",4.125
"197","5","8","heed",4
"198","5","11","heed",4
"199","5","4","hid",3
"200","5","10","hid",3
"201","5","1","hid",3
"202","11","18","hid",3.38888888888889
"203","11","14","heed",4
"204","11","17","hid",3.92857142857143
"205","11","16","hid",3.6875
"206","11","13","heed",4
"207","11","12","heed",3.25
"208","11","19","hid",3.9
"209","11","15","hid",3.75
"210","11","9","heed",3
"211","11","7","heed",4
"212","11","11","hid",3.75
"213","11","10","hid",3.08333333333333
"214","11","1","heed",4
"215","11","6","hid",4
"216","6","18","heed",4
"217","6","14","hid",2.96296296296296
"218","6","17","heed",4.5
"219","6","16","heed",4.08333333333333
"220","6","13","heed",3.75
"221","6","12","hid",3.28571428571428
"222","6","19","heed",4.17857142857143
"223","6","15","hid",3.66666666666667
"224","6","9","heed",3.5
"225","6","8","hid",3.625
"226","6","7","heed",4
"227","6","11","hid",3.17857142857143
"228","6","4","hid",3
"229","6","5","heed",4
"230","6","10","hid",3
"231","6","6","heed",4
"232","10","4","heed",3
"233","10","6","heed",2
"234","10","2","heed",3
"235","11","8","heed",3.625
"236","11","3","heed",3
"237","7","3","heed",3
"238","7","1","hid",3
"239","2","9","heed",3.5
"240","2","6","hid",3
"241","2","7","heed",4
"242","2","3","heed",3
"243","2","1","hid",3
"244","14","6","heed",3
"245","14","3","heed",4
"246","9","4","heed",4
"247","9","2","hid",3
"248","3","7","hid",5
"249","3","1","heed",4
"250","8","6","hid",3
"251","12","3","heed",3
"252","15","4","heed",2
"253","15","6","hid",4
"254","15","2","hid",1
"255","13","6","heed",4
"256","13","5","hid",3
"257","5","9","heed",4
"258","5","6","heed",4
"259","1","6","heed",4
"260","1","3","hid",4
"261","1","2","hid",4
"262","4","4","heed",3.5
"263","4","8","hid",3.5
"264","4","7","hid",3
"265","4","5","hid",3
"266","4","3","hid",2.5
"267","4","1","heed",4
"268","4","2","heed",4
"269","6","3","heed",4
"270","16","11","heed",3.66666666666667
"271","16","6","heed",3.5
"272","5","5","heed",3
"273","15","7","hid",3
